Lisbona,Tram28,https://cdn.marcopolo.tv/960x480/media/post/zelrz87/lisbona-tram28.jpg
Lisbona,Tram28,https://media.tacdn.com/media/attractions-splice-spp-674x446/0a/48/85/aa.jpg
Lisbona,Elevador,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Lisbon_%28Lisboa%29_historic_elevator_Santa_Justa_Luca_Galuzzi_2006.jpg/399px-Lisbon_%28Lisboa%29_historic_elevator_Santa_Justa_Luca_Galuzzi_2006.jpg
Lisbona,Elevador,https://travel.thewom.it/pictures/2018/07/02/elevador-santa-justa.jpeg
Lisbona,Oceanario,https://acquarioincasa.it/wp-content/uploads/2019/12/Oceanario-di-Lisbona-Portogallo-1.jpg
Lisbona,Oceanario,https://cdn-imgix.headout.com/tour/25800/TOUR-IMAGE/051c47ba-1b1c-4303-a30b-19ae25f3d384-13453-lisbon-lisboa-s-ocea-nario-ticket-12.jpg
Dublino,Temple Bar,https://www.viaggipronti.it/wp-content/uploads/2019/11/dublin-3848404_1920.jpg
Dublino,Temple Bar,https://media-cdn.tripadvisor.com/media/photo-s/0e/25/75/35/temple-bar-pub-in-christmas.jpg
Dublino,Guinness Storehouse,https://www.viaggi-lowcost.info/wp-content/uploads/2009/01/ingresso-storehouse-dublino.jpg
Dublino,Guinness Storehouse,https://www.vologratis.org/wp-content/uploads/2019/04/guinness-storehouse-dublino.jpg
Dublino,Fiume Liffey,https://b77.it/wp-content/uploads/2019/08/Dublino.jpg
Dublino,Fiume Liffey,https://live.staticflickr.com/65535/48075506922_07a5c1209f_b.jpg
Roma,Giardino degli aranci,https://www.lazionascosto.it/wp-content/uploads/2019/07/giardino-degli-aranci.jpg
Roma,Giardino degli aranci,https://madtrip.co/uploads/photos/72af174cb6165d2016bf09210e7d58a7.jpg
Roma,Orologio ad acqua,https://www.romatoday.it/~media/horizontal-hi/41638406313640/orologio-ad-acqua-del-pincio-destinazioneterra-2.jpg
Roma,Orologio ad acqua,https://upload.wikimedia.org/wikipedia/commons/6/62/Hydrochronometer_by_Embriaco_%28total_view_with_signs%29.jpg
Roma,Trastevere,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/roma-trastevere-cosa-vedere-1592088377.jpg
Roma,Trastevere,https://www.enotecatrastevere.it/wp-content/uploads/2019/04/la-storia.jpg